Date,Station_Or_Type,Metric,Value,Unit,Source_File
2025-12,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-12,National,OCLF_Pct,0.30,%,Monthly_Unavailability
2025-12,National,PCLF_Pct,10.90,%,Monthly_Unavailability
2025-12,National,UCLF_Pct,19.90,%,Monthly_Unavailability
2025-11,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,92.80,GWh,OCGT_Utilisation
2025-11,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-11,National,OCLF_Pct,0.30,%,Monthly_Unavailability
2025-11,National,PCLF_Pct,12.40,%,Monthly_Unavailability
2025-11,National,UCLF_Pct,19.10,%,Monthly_Unavailability
2025-10,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,93.60,GWh,OCGT_Utilisation
2025-10,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-10,National,OCLF_Pct,0.30,%,Monthly_Unavailability
2025-10,National,PCLF_Pct,12.10,%,Monthly_Unavailability
2025-10,National,UCLF_Pct,21.90,%,Monthly_Unavailability
2025-09,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,65.90,GWh,OCGT_Utilisation
2025-09,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-09,National,OCLF_Pct,0.60,%,Monthly_Unavailability
2025-09,National,PCLF_Pct,10.90,%,Monthly_Unavailability
2025-09,National,UCLF_Pct,18.30,%,Monthly_Unavailability
2025-08,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,119.40,GWh,OCGT_Utilisation
2025-08,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-08,National,OCLF_Pct,0.40,%,Monthly_Unavailability
2025-08,National,PCLF_Pct,12.10,%,Monthly_Unavailability
2025-08,National,UCLF_Pct,21.30,%,Monthly_Unavailability
2025-07,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,204.10,GWh,OCGT_Utilisation
2025-07,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-07,National,OCLF_Pct,0.40,%,Monthly_Unavailability
2025-07,National,PCLF_Pct,9.90,%,Monthly_Unavailability
2025-07,National,UCLF_Pct,25.90,%,Monthly_Unavailability
2025-06,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,284.20,GWh,OCGT_Utilisation
2025-06,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,0.00,GWh,OCGT_Utilisation
2025-06,National,OCLF_Pct,0.50,%,Monthly_Unavailability
2025-06,National,PCLF_Pct,8.10,%,Monthly_Unavailability
2025-06,National,UCLF_Pct,31.20,%,Monthly_Unavailability
2025-05,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,284.00,GWh,OCGT_Utilisation
2025-05,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,80.90,GWh,OCGT_Utilisation
2025-05,National,OCLF_Pct,0.50,%,Monthly_Unavailability
2025-05,National,PCLF_Pct,11.50,%,Monthly_Unavailability
2025-05,National,UCLF_Pct,29.00,%,Monthly_Unavailability
2025-04,OCGT,OCGT_Energy_GWh_2025_26_Total__Eskom_IPP_,462.20,GWh,OCGT_Utilisation
2025-04,OCGT,OCGT_Energy_GWh_2026_27_Total__Eskom_IPP_,123.90,GWh,OCGT_Utilisation
2025-04,National,OCLF_Pct,0.50,%,Monthly_Unavailability
2025-04,National,PCLF_Pct,14.80,%,Monthly_Unavailability
2025-04,National,UCLF_Pct,28.60,%,Monthly_Unavailability
2025-03,National,OCLF_Pct,0.60,%,Monthly_Unavailability
2025-03,National,PCLF_Pct,14.30,%,Monthly_Unavailability
2025-03,National,UCLF_Pct,28.20,%,Monthly_Unavailability
