Year,Topic,Geography,Category,Value,Unit
2023,Sanitation,South Africa,Pit latrine without ventilation pipe,2576657,count
2023,Sanitation,South Africa,Pit latrine without ventilation pipe,13.6,%
2023,Water_Source,South Africa,Borehole on site,448,thousands
2023,Water_Source,South Africa,Borehole on site,2.4,%
2023,Water_Source,South Africa,Borehole outside yard,212,thousands
2023,Water_Source,South Africa,Borehole outside yard,1.1,%
2023,Water_Source,South Africa,Flowing water/stream/river,264,thousands
2023,Water_Source,South Africa,Flowing water/stream/river,1.4,%
2023,Water_Source,South Africa,Municipal Water-carrier/tanker,254,thousands
2023,Water_Source,South Africa,Municipal Water-carrier/tanker,1.3,%
2023,Water_Source,South Africa,Neighbours tap,429,thousands
2023,Water_Source,South Africa,Neighbours tap,2.3,%
2023,Water_Source,South Africa,Other,140,thousands
2023,Water_Source,South Africa,Other,0.7,%
2023,Water_Source,South Africa,Piped (tap) water in dwelling,8598,thousands
2023,Water_Source,South Africa,Piped (tap) water in dwelling,45.2,%
2023,Water_Source,South Africa,Piped (tap) water on site or in yard,5668,thousands
2023,Water_Source,South Africa,Piped (tap) water on site or in yard,29.8,%
2023,Water_Source,South Africa,Public or communal tap,1841,thousands
2023,Water_Source,South Africa,Public or communal tap,9.7,%
2023,Water_Source,South Africa,Rain-water tank on site,466,thousands
2023,Water_Source,South Africa,Rain-water tank on site,2.5,%
2023,Water_Source,South Africa,Spring,130,thousands
2023,Water_Source,South Africa,Spring,0.7,%
2023,Water_Source,South Africa,Stagnant water/dam/pool,15,thousands
2023,Water_Source,South Africa,Stagnant water/dam/pool,0.1,%
2023,Water_Source,South Africa,Water vendor,471,thousands
2023,Water_Source,South Africa,Water vendor,2.5,%
2023,Water_Source,South Africa,Well,68,thousands
2023,Water_Source,South Africa,Well,0.4,%
2022,Sanitation,South Africa,Bucket toilet,150337,count
2022,Sanitation,South Africa,Bucket toilet,0.8,%
2022,Sanitation,South Africa,Chemical toilet,191761,count
2022,Sanitation,South Africa,Chemical toilet,1.0,%
2022,Sanitation,South Africa,Flush toilet connected to public sewerage,11229955,count
2022,Sanitation,South Africa,Flush toilet connected to public sewerage,60.8,%
2022,Sanitation,South Africa,Flush toilet connected to septic tank,922107,count
2022,Sanitation,South Africa,Flush toilet connected to septic tank,5.0,%
2022,Sanitation,South Africa,None,177556,count
2022,Sanitation,South Africa,None,1.0,%
2022,Sanitation,South Africa,Other,94033,count
2022,Sanitation,South Africa,Other,0.5,%
2022,Sanitation,South Africa,Pit latrine with ventilation pipe,3224742,count
2022,Sanitation,South Africa,Pit latrine with ventilation pipe,17.5,%
2022,Sanitation,South Africa,Pit latrine without ventilation pipe,2485414,count
2022,Sanitation,South Africa,Pit latrine without ventilation pipe,13.5,%
2022,Water_Source,South Africa,Borehole on site,421,thousands
2022,Water_Source,South Africa,Borehole on site,2.3,%
2022,Water_Source,South Africa,Borehole outside yard,197,thousands
2022,Water_Source,South Africa,Borehole outside yard,1.1,%
2022,Water_Source,South Africa,Flowing water/stream/river,276,thousands
2022,Water_Source,South Africa,Flowing water/stream/river,1.5,%
2022,Water_Source,South Africa,Municipal Water-carrier/tanker,265,thousands
2022,Water_Source,South Africa,Municipal Water-carrier/tanker,1.4,%
2022,Water_Source,South Africa,Neighbours tap,370,thousands
2022,Water_Source,South Africa,Neighbours tap,2.0,%
2022,Water_Source,South Africa,Other,123,thousands
2022,Water_Source,South Africa,Other,0.7,%
2022,Water_Source,South Africa,Piped (tap) water in dwelling,8459,thousands
2022,Water_Source,South Africa,Piped (tap) water in dwelling,45.8,%
2022,Water_Source,South Africa,Piped (tap) water on site or in yard,5540,thousands
2022,Water_Source,South Africa,Piped (tap) water on site or in yard,30.0,%
2022,Water_Source,South Africa,Public or communal tap,1977,thousands
2022,Water_Source,South Africa,Public or communal tap,10.7,%
2022,Water_Source,South Africa,Rain-water tank on site,345,thousands
2022,Water_Source,South Africa,Rain-water tank on site,1.9,%
2022,Water_Source,South Africa,Spring,131,thousands
2022,Water_Source,South Africa,Spring,0.7,%
2022,Water_Source,South Africa,Stagnant water/dam/pool,22,thousands
2022,Water_Source,South Africa,Stagnant water/dam/pool,0.1,%
2022,Water_Source,South Africa,Water vendor,310,thousands
2022,Water_Source,South Africa,Water vendor,1.7,%
2022,Water_Source,South Africa,Well,43,thousands
2022,Water_Source,South Africa,Well,0.2,%
2021,Sanitation,South Africa,Bucket toilet,151238,count
2021,Sanitation,South Africa,Bucket toilet,0.8,%
2021,Sanitation,South Africa,Chemical toilet,152337,count
2021,Sanitation,South Africa,Chemical toilet,0.8,%
2021,Sanitation,South Africa,Flush toilet connected to public sewerage,10867229,count
2021,Sanitation,South Africa,Flush toilet connected to public sewerage,60.6,%
2021,Sanitation,South Africa,Flush toilet connected to septic tank,749391,count
2021,Sanitation,South Africa,Flush toilet connected to septic tank,4.2,%
2021,Sanitation,South Africa,None,111647,count
2021,Sanitation,South Africa,None,0.6,%
2021,Sanitation,South Africa,Other,34956,count
2021,Sanitation,South Africa,Other,0.2,%
2021,Sanitation,South Africa,Pit latrine with ventilation pipe,3463353,count
2021,Sanitation,South Africa,Pit latrine with ventilation pipe,19.3,%
2021,Sanitation,South Africa,Pit latrine without ventilation pipe,2400338,count
2021,Sanitation,South Africa,Pit latrine without ventilation pipe,13.4,%
2021,Water_Source,South Africa,Borehole on site,405,thousands
2021,Water_Source,South Africa,Borehole on site,2.3,%
2021,Water_Source,South Africa,Borehole outside yard,167,thousands
2021,Water_Source,South Africa,Borehole outside yard,0.9,%
2021,Water_Source,South Africa,Flowing water/stream/river,318,thousands
2021,Water_Source,South Africa,Flowing water/stream/river,1.8,%
2021,Water_Source,South Africa,Municipal Water-carrier/tanker,312,thousands
2021,Water_Source,South Africa,Municipal Water-carrier/tanker,1.7,%
2021,Water_Source,South Africa,Neighbours tap,337,thousands
2021,Water_Source,South Africa,Neighbours tap,1.9,%
2021,Water_Source,South Africa,Other,96,thousands
2021,Water_Source,South Africa,Other,0.5,%
2021,Water_Source,South Africa,Piped (tap) water in dwelling,8119,thousands
2021,Water_Source,South Africa,Piped (tap) water in dwelling,45.2,%
2021,Water_Source,South Africa,Piped (tap) water on site or in yard,5280,thousands
2021,Water_Source,South Africa,Piped (tap) water on site or in yard,29.4,%
2021,Water_Source,South Africa,Public or communal tap,2190,thousands
2021,Water_Source,South Africa,Public or communal tap,12.2,%
2021,Water_Source,South Africa,Rain-water tank on site,274,thousands
2021,Water_Source,South Africa,Rain-water tank on site,1.5,%
2021,Water_Source,South Africa,Spring,101,thousands
2021,Water_Source,South Africa,Spring,0.6,%
2021,Water_Source,South Africa,Stagnant water/dam/pool,25,thousands
2021,Water_Source,South Africa,Stagnant water/dam/pool,0.1,%
2021,Water_Source,South Africa,Water vendor,286,thousands
2021,Water_Source,South Africa,Water vendor,1.6,%
2021,Water_Source,South Africa,Well,36,thousands
2021,Water_Source,South Africa,Well,0.2,%
2020,Sanitation,South Africa,Bucket toilet,130679,count
2020,Sanitation,South Africa,Bucket toilet,0.8,%
2020,Sanitation,South Africa,Chemical toilet,185675,count
2020,Sanitation,South Africa,Chemical toilet,1.1,%
2020,Sanitation,South Africa,Flush toilet connected to public sewerage,10594127,count
2020,Sanitation,South Africa,Flush toilet connected to public sewerage,60.9,%
2020,Sanitation,South Africa,Flush toilet connected to septic tank,693572,count
2020,Sanitation,South Africa,Flush toilet connected to septic tank,4.0,%
2020,Sanitation,South Africa,None,105670,count
2020,Sanitation,South Africa,None,0.6,%
2020,Sanitation,South Africa,Other,41449,count
