Financial_Year,Municipality,Province,Item_Label,Item_Category,Value_ZAR,Municipality_Type
2019,Buffalo City,Eastern Cape,SURPLUS,Summary - Surplus/Deficit,0,Metro
2019,Buffalo City,Eastern Cape,"Surplus / (Deficit) After Tax, Cross Subsidies & Share Of As",Summary - Surplus/Deficit,4167957893,Metro
2019,Buffalo City,Eastern Cape,Taxation,Expenditure - Operating,1463091,Metro
2019,Buffalo City,Eastern Cape,Total Direct Operating Expenditure,Summary - Expenditure,48143579440,Metro
2019,Buffalo City,Eastern Cape,Total Direct Operating Revenue,Summary - Revenue,52592067067,Metro
2019,Buffalo City,Eastern Cape,Total Indirect Operating Expenditure,Summary - Expenditure,279066643,Metro
2019,Buffalo City,Eastern Cape,Total Indirect Operating Revenue,Summary - Revenue,0,Metro
2019,Buffalo City,Eastern Cape,Total Operating Expenditure,Summary - Expenditure,48422646083,Metro
2019,Buffalo City,Eastern Cape,Total Operating Revenue,Summary - Revenue,52592067067,Metro
2019,Buffalo City,Eastern Cape,Total Operating Revenue Generated,Other,53689722074,Metro
2019,Buffalo City,Eastern Cape,Transfers Recognised - Capital,Other,6725444507,Metro
2019,Buffalo City,Eastern Cape,Transfers Recognised - Operating,Other,10009949251,Metro
2019,City of Cape Town,Western Cape,Agency Services,Expenditure - Operating,1529934015,Metro
2019,City of Cape Town,Western Cape,Asset Financing Reserve (Afr),Reserve - Asset,-8249128148,Metro
2019,City of Cape Town,Western Cape,Bulk Purchases,Expenditure - Operating,67050855952,Metro
2019,City of Cape Town,Western Cape,Change To Unappropriated Surplus / (Accumulated Deficit),Summary - Surplus/Deficit,8278798374,Metro
2019,City of Cape Town,Western Cape,Collection Costs,Expenditure - Operating,440440664,Metro
2019,City of Cape Town,Western Cape,Contracted Services,Expenditure - Operating,36139745836,Metro
2019,City of Cape Town,Western Cape,Contributed Assets,Revenue - Other,-1037219,Metro
2019,City of Cape Town,Western Cape,Contributions To/(From) Provisions,Expenditure - Operating,0,Metro
2019,City of Cape Town,Western Cape,Cross Subsidisation,Expenditure - Internal,-1,Metro
2019,City of Cape Town,Western Cape,Debt Impairment,Expenditure - Operating,17935805309,Metro
2019,City of Cape Town,Western Cape,Depreciation and Asset Impairment,Expenditure - Operating,20791767342,Metro
2019,City of Cape Town,Western Cape,Depreciation Reserve Ex Afr,Reserve - Asset,607349455,Metro
2019,City of Cape Town,Western Cape,Depreciation Reserve Ex Donations And Contributions,Reserve - Asset,-253680514,Metro
2019,City of Cape Town,Western Cape,Depreciation Reserve Ex Govt Grants,Reserve - Asset,-7140325964,Metro
2019,City of Cape Town,Western Cape,Dividends Paid (Municipal Entities Only),Expenditure - Finance Charges,-37065236,Metro
2019,City of Cape Town,Western Cape,Dividends Received,Revenue - Financial,0,Metro
2019,City of Cape Town,Western Cape,Dividends Received - Internal (From Municipal Entities),Revenue - Financial,0,Metro
2019,City of Cape Town,Western Cape,Employee Related Costs - Social Contributions,Expenditure - Employee Costs,19971793655,Metro
2019,City of Cape Town,Western Cape,Employee Related Costs - Wages & Salaries,Expenditure - Employee Costs,71214405937,Metro
2019,City of Cape Town,Western Cape,Fines,Revenue - Other,10024771176,Metro
2019,City of Cape Town,Western Cape,"Gain On Disposal Of Property, Plant & Equipment",Revenue - Other,545779274,Metro
2019,City of Cape Town,Western Cape,Grants and Subsidies,Expenditure - Transfers,1943533710,Metro
2019,City of Cape Town,Western Cape,Housing Development Fund,Reserve - Fund,-151180483,Metro
2019,City of Cape Town,Western Cape,Interest - Internal Borrowings,Expenditure - Finance Charges,11712499477,Metro
2019,City of Cape Town,Western Cape,Interest Earned - External Investments,Revenue - Financial,7243369074,Metro
2019,City of Cape Town,Western Cape,Interest Earned - Outstanding Debtors,Revenue - Financial,2493805662,Metro
2019,City of Cape Town,Western Cape,Interest Expense - External Borrowings,Expenditure - Finance Charges,7703842182,Metro
2019,City of Cape Town,Western Cape,Interest Received - Internal Loans,Revenue - Financial,11712499485,Metro
2019,City of Cape Town,Western Cape,Internal Charges (Activity Based Costing Etc),Expenditure - Internal,137081374046,Metro
2019,City of Cape Town,Western Cape,Internal Recoveries (Activity Based Costing Etc),Expenditure - Internal,137082189116,Metro
2019,City of Cape Town,Western Cape,INTERNAL TRANSFERS - (must net out with corresp. items under,Expenditure - Internal,0,Metro
2019,City of Cape Town,Western Cape,INTERNAL TRANSFERS – (must net out with corresp. items under,Other,0,Metro
2019,City of Cape Town,Western Cape,Less Employee Costs Allocated To Other Operating Items,Expenditure - Employee Costs,0,Metro
2019,City of Cape Town,Western Cape,Less Employee Costs Capitalised,Expenditure - Employee Costs,-200418960,Metro
2019,City of Cape Town,Western Cape,Less Revenue Foregone,Revenue - Other,10387129803,Metro
2019,City of Cape Town,Western Cape,Licenses and Permits,Revenue - Other,380467534,Metro
2019,City of Cape Town,Western Cape,"Loss On Disposal Of Property, Plant & Equipment",Expenditure - Operating,200382196,Metro
2019,City of Cape Town,Western Cape,OPERATING EXPENDITURE,Summary - Expenditure,0,Metro
2019,City of Cape Town,Western Cape,OPERATING REVENUE,Summary - Revenue,0,Metro
2019,City of Cape Town,Western Cape,Operating Surplus / (Deficit) - After Tax,Summary - Surplus/Deficit,31898192759,Metro
2019,City of Cape Town,Western Cape,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Summary - Surplus/Deficit,31908863983,Metro
2019,City of Cape Town,Western Cape,Other,Expenditure - Operating,-8356844227,Metro
2019,City of Cape Town,Western Cape,OTHER ADJUSTMENTS AND TRANSFERS,Other,0,Metro
2019,City of Cape Town,Western Cape,Other Expenditure,Expenditure - Operating,26214370967,Metro
2019,City of Cape Town,Western Cape,Other Materials,Expenditure - Operating,7484245206,Metro
2019,City of Cape Town,Western Cape,Other Revenue,Revenue - Other,6589080270,Metro
2019,City of Cape Town,Western Cape,Plus Interests In Entities Not Wholly Owned,Other,0,Metro
2019,City of Cape Town,Western Cape,Property Rates,Revenue - Property Rates,78844092567,Metro
2019,City of Cape Town,Western Cape,Property Rates - Penalties And Collection Charges,Revenue - Property Rates,0,Metro
2019,City of Cape Town,Western Cape,Redemption Payments - External Borrowings (Gamap To Remove),Capital - Financing,0,Metro
2019,City of Cape Town,Western Cape,Remuneration Of Councillors,Expenditure - Employee Costs,1180071635,Metro
2019,City of Cape Town,Western Cape,Rent Of Facilities And Equipment,Revenue - Other,3838033599,Metro
2019,City of Cape Town,Western Cape,Revaluation Reserve,Reserve - Asset,0,Metro
2019,City of Cape Town,Western Cape,Self-Insurance Reserve,Reserve - Fund,-38519267,Metro
2019,City of Cape Town,Western Cape,Service Charges,Revenue - Service Charges,144813095761,Metro
2019,City of Cape Town,Western Cape,SURPLUS,Summary - Surplus/Deficit,0,Metro
2019,City of Cape Town,Western Cape,"Surplus / (Deficit) After Tax, Cross Subsidies & Share Of As",Summary - Surplus/Deficit,31898192758,Metro
2019,City of Cape Town,Western Cape,Taxation,Expenditure - Operating,10671224,Metro
