GDP_Period,Year,Quarter,Series_Code,Sector,Amount_ZAR_Millions
2012 Q2,2012,Q2,QNU1002,Mining and quarrying,55164.88
2012 Q2,2012,Q2,QNU1003,Manufacturing,107170.17
2012 Q2,2012,Q2,QNU1004,"Electricity, gas and water",25744.51
2012 Q2,2012,Q2,QNU1005,Construction,32089.70
2012 Q2,2012,Q2,QNU1006,"Trade, catering and accommodation",110299.66
2012 Q2,2012,Q2,QNU1007,"Transport, storage and communication",70688.16
2012 Q2,2012,Q2,QNU1008,"Finance, real estate and business services",188717.75
2012 Q2,2012,Q2,QNU1009,General government services,63235.01
2012 Q2,2012,Q2,QNU1010,Personal services,132695.63
2012 Q1,2012,Q1,QNU1000,GDP at market prices,847279.82
2012 Q1,2012,Q1,QNU1001,"Agriculture, forestry and fishing",13242.06
2012 Q1,2012,Q1,QNU1002,Mining and quarrying,50452.08
2012 Q1,2012,Q1,QNU1003,Manufacturing,110602.71
2012 Q1,2012,Q1,QNU1004,"Electricity, gas and water",19604.53
2012 Q1,2012,Q1,QNU1005,Construction,28133.67
2012 Q1,2012,Q1,QNU1006,"Trade, catering and accommodation",103399.74
2012 Q1,2012,Q1,QNU1007,"Transport, storage and communication",64861.18
2012 Q1,2012,Q1,QNU1008,"Finance, real estate and business services",189381.93
2012 Q1,2012,Q1,QNU1009,General government services,61533.31
2012 Q1,2012,Q1,QNU1010,Personal services,125412.62
2011 Q4,2011,Q4,QNU1000,GDP at market prices,869309.77
2011 Q4,2011,Q4,QNU1001,"Agriculture, forestry and fishing",9540.01
2011 Q4,2011,Q4,QNU1002,Mining and quarrying,57791.62
2011 Q4,2011,Q4,QNU1003,Manufacturing,110388.17
2011 Q4,2011,Q4,QNU1004,"Electricity, gas and water",14964.47
2011 Q4,2011,Q4,QNU1005,Construction,28362.42
2011 Q4,2011,Q4,QNU1006,"Trade, catering and accommodation",121327.70
2011 Q4,2011,Q4,QNU1007,"Transport, storage and communication",69216.29
2011 Q4,2011,Q4,QNU1008,"Finance, real estate and business services",185940.82
2011 Q4,2011,Q4,QNU1009,General government services,62391.90
2011 Q4,2011,Q4,QNU1010,Personal services,128976.36
2011 Q3,2011,Q3,QNU1000,GDP at market prices,848167.27
2011 Q3,2011,Q3,QNU1001,"Agriculture, forestry and fishing",19185.86
2011 Q3,2011,Q3,QNU1002,Mining and quarrying,58072.73
2011 Q3,2011,Q3,QNU1003,Manufacturing,109579.37
2011 Q3,2011,Q3,QNU1004,"Electricity, gas and water",19299.84
2011 Q3,2011,Q3,QNU1005,Construction,28731.86
2011 Q3,2011,Q3,QNU1006,"Trade, catering and accommodation",103030.40
2011 Q3,2011,Q3,QNU1007,"Transport, storage and communication",66575.09
2011 Q3,2011,Q3,QNU1008,"Finance, real estate and business services",183022.45
2011 Q3,2011,Q3,QNU1009,General government services,60138.73
2011 Q3,2011,Q3,QNU1010,Personal services,128457.93
2011 Q2,2011,Q2,QNU1000,GDP at market prices,826404.96
2011 Q2,2011,Q2,QNU1001,"Agriculture, forestry and fishing",26014.31
2011 Q2,2011,Q2,QNU1002,Mining and quarrying,52668.91
2011 Q2,2011,Q2,QNU1003,Manufacturing,102926.62
2011 Q2,2011,Q2,QNU1004,"Electricity, gas and water",20971.97
2011 Q2,2011,Q2,QNU1005,Construction,28863.01
2011 Q2,2011,Q2,QNU1006,"Trade, catering and accommodation",101220.84
2011 Q2,2011,Q2,QNU1007,"Transport, storage and communication",64209.53
2011 Q2,2011,Q2,QNU1008,"Finance, real estate and business services",180715.20
2011 Q2,2011,Q2,QNU1009,General government services,58009.08
2011 Q2,2011,Q2,QNU1010,Personal services,122948.48
2011 Q1,2011,Q1,QNU1000,GDP at market prices,783165.02
2011 Q1,2011,Q1,QNU1001,"Agriculture, forestry and fishing",13261.10
2011 Q1,2011,Q1,QNU1002,Mining and quarrying,47908.32
2011 Q1,2011,Q1,QNU1003,Manufacturing,105022.96
2011 Q1,2011,Q1,QNU1004,"Electricity, gas and water",15779.18
2011 Q1,2011,Q1,QNU1005,Construction,25090.08
2011 Q1,2011,Q1,QNU1006,"Trade, catering and accommodation",94382.14
2011 Q1,2011,Q1,QNU1007,"Transport, storage and communication",57914.62
2011 Q1,2011,Q1,QNU1008,"Finance, real estate and business services",182104.32
2011 Q1,2011,Q1,QNU1009,General government services,56261.69
2011 Q1,2011,Q1,QNU1010,Personal services,113851.60
2010 Q4,2010,Q4,QNU1000,GDP at market prices,797467.95
2010 Q4,2010,Q4,QNU1001,"Agriculture, forestry and fishing",7131.15
2010 Q4,2010,Q4,QNU1002,Mining and quarrying,51332.32
2010 Q4,2010,Q4,QNU1003,Manufacturing,109610.07
2010 Q4,2010,Q4,QNU1004,"Electricity, gas and water",11771.99
2010 Q4,2010,Q4,QNU1005,Construction,25126.88
2010 Q4,2010,Q4,QNU1006,"Trade, catering and accommodation",111088.85
2010 Q4,2010,Q4,QNU1007,"Transport, storage and communication",65122.03
2010 Q4,2010,Q4,QNU1008,"Finance, real estate and business services",174747.75
2010 Q4,2010,Q4,QNU1009,General government services,57370.18
2010 Q4,2010,Q4,QNU1010,Personal services,113695.72
2010 Q3,2010,Q3,QNU1000,GDP at market prices,777733.02
2010 Q3,2010,Q3,QNU1001,"Agriculture, forestry and fishing",15276.20
2010 Q3,2010,Q3,QNU1002,Mining and quarrying,53173.47
2010 Q3,2010,Q3,QNU1003,Manufacturing,108460.15
2010 Q3,2010,Q3,QNU1004,"Electricity, gas and water",14875.81
2010 Q3,2010,Q3,QNU1005,Construction,26269.22
2010 Q3,2010,Q3,QNU1006,"Trade, catering and accommodation",94227.35
2010 Q3,2010,Q3,QNU1007,"Transport, storage and communication",60185.12
2010 Q3,2010,Q3,QNU1008,"Finance, real estate and business services",170510.26
2010 Q3,2010,Q3,QNU1009,General government services,54528.41
2010 Q3,2010,Q3,QNU1010,Personal services,114855.03
2010 Q2,2010,Q2,QNU1000,GDP at market prices,764970.15
2010 Q2,2010,Q2,QNU1001,"Agriculture, forestry and fishing",27833.13
2010 Q2,2010,Q2,QNU1002,Mining and quarrying,48603.51
2010 Q2,2010,Q2,QNU1003,Manufacturing,102149.96
2010 Q2,2010,Q2,QNU1004,"Electricity, gas and water",15388.29
2010 Q2,2010,Q2,QNU1005,Construction,26708.51
2010 Q2,2010,Q2,QNU1006,"Trade, catering and accommodation",94236.02
2010 Q2,2010,Q2,QNU1007,"Transport, storage and communication",57504.80
2010 Q2,2010,Q2,QNU1008,"Finance, real estate and business services",168177.81
2010 Q2,2010,Q2,QNU1009,General government services,52282.74
2010 Q2,2010,Q2,QNU1010,Personal services,111871.40
2010 Q1,2010,Q1,QNU1000,GDP at market prices,715442.08
2010 Q1,2010,Q1,QNU1001,"Agriculture, forestry and fishing",14165.35
2010 Q1,2010,Q1,QNU1002,Mining and quarrying,38734.88
2010 Q1,2010,Q1,QNU1003,Manufacturing,103274.78
2010 Q1,2010,Q1,QNU1004,"Electricity, gas and water",13717.99
2010 Q1,2010,Q1,QNU1005,Construction,23978.13
2010 Q1,2010,Q1,QNU1006,"Trade, catering and accommodation",86814.83
2010 Q1,2010,Q1,QNU1007,"Transport, storage and communication",51959.78
2010 Q1,2010,Q1,QNU1008,"Finance, real estate and business services",171221.64
2010 Q1,2010,Q1,QNU1009,General government services,51893.84
2010 Q1,2010,Q1,QNU1010,Personal services,101709.86
